cluster_id	cluster_label	supertype_id	supertype_label	supertype_id_label	subclass_id	subclass_label	subclass_id_label	class_id	class_label	class_id_label	division_id	division_label	division_id_label	neighborhood	nt_type_label	nt_type_combo_label	nt.markers	np.markers	combo.markers	top.markers	tentative_anatomical_annotation	max_dissection_region	cluster_size	size.10xv2	size.10xv3	F	M	sex bias	Dark	Light	gene.counts.10xv2	gene.counts.10xv3	umi.counts.10xv2	umi.counts.10xv3	qc.score.10xv2	qc.score.10xv3	taxonomy_id	cell_set_accession.cluster	cell_set_accession.supertype	cell_set_accession.subclass	cell_set_accession.class	cell_set_accession.division
1	0001 Car3 Glut_1	1	Car3 Glut_1	0001 Car3 Glut_1	1	Car3 Glut	001 Car3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	Glut	Slc17a7:9.9,Slc17a6:4.5	Cck:9.5,Cartpt:3.1	Gm45623,Nr4a2,Lgr5,Synpr	Gm45623,Car3,Gm34567	CLA-EPd-CTX	CTXsp	4287	3819	468	0.56	0.44		0.12	0.88	5510.14375490966	7471.34188034188	20030.0764598062	43571.0961538462	389.766556635409	396.32594380829	CCN202212150	CS202212150_1	CS202212150_5202	CS202212150_6124	CS202212150_6348	CS202212150_6375
2	0002 Car3 Glut_1	1	Car3 Glut_1	0001 Car3 Glut_1	1	Car3 Glut	001 Car3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	Glut	Slc17a7:9.6	Cck:9	Car3,Slc17a7,4930407I19Rik	Car3,Osr1,4930407I19Rik	CLA-CTX, EPd po	CTXsp	3232	3015	217	0.58	0.42		0.09	0.91	5433.19071310116	7837.0599078341	19228.192039801	48159.1935483871	386.752440744076	379.299235258833	CCN202212150	CS202212150_2	CS202212150_5202	CS202212150_6124	CS202212150_6348	CS202212150_6375
3	0003 Car3 Glut_1	1	Car3 Glut_1	0001 Car3 Glut_1	1	Car3 Glut	001 Car3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	Glut	Slc17a7:9.4,Slc17a6:6	Cck:9.6	Car3,Satb2,Ccbe1	Car3,Gm34567,Gm45623	TPE-AI mostly	TEa-PERI-ECT	12285	11396	889	0.5	0.5		0.17	0.83	4671.5085995086	6766.52868391451	13978.035977536	31878.7176602925	365.075696476853	364.147790873494	CCN202212150	CS202212150_3	CS202212150_5202	CS202212150_6124	CS202212150_6348	CS202212150_6375
4	0004 Car3 Glut_1	1	Car3 Glut_1	0001 Car3 Glut_1	1	Car3 Glut	001 Car3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	Glut	Slc17a7:9.5,Slc17a6:6.2	Cck:9.8,Cartpt:5.6,Nmb:3.9	Fap,Gm32647,Rspo1,Cracr2a	Fap,Car3,Gm45623	CTX	AUD	9408	8705	703	0.52	0.48		0.18	0.82	4673.12923607122	7327.26742532006	14418.5286616887	38681.0042674253	387.851784462192	399.303261297548	CCN202212150	CS202212150_4	CS202212150_5202	CS202212150_6124	CS202212150_6348	CS202212150_6375
5	0005 Car3 Glut_2	2	Car3 Glut_2	0002 Car3 Glut_2	1	Car3 Glut	001 Car3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	Glut	Slc17a7:9.7,Slc17a6:4.4	Cck:8.7	Gm45623,Egr2	Gm45623,Ccnb1,Lcp1	EPd	OLF	1057	1017	40	0.7	0.3		0.06	0.94	4845.5447394297	7044.275	16548.3126843658	45789.35	390.651363458665	373.809526903561	CCN202212150	CS202212150_5	CS202212150_5	CS202212150_6124	CS202212150_6348	CS202212150_6375
6	0006 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.7	Cck:9.5,Npy:4.6	Gm6209,C1ql3,Tpbgl,Robo3	Gm6209,Alkal1,Osr1	CLA-AI?	CTXsp	2658	1929	729	0.52	0.48		0.37	0.63	4733.07153965785	7605.39643347051	14128.5645412131	41600.5294924554	372.2392101049	387.326690044217	CCN202212150	CS202212150_6	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
7	0007 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.5	Cck:9.2	Gm6209,Npsr1,Scube2,Gpr88	Gm6209,Tll2,Osr1	EPd	CTXsp	9701	4827	4874	0.61	0.39		0.43	0.57	5171.18935156412	7904.02585145671	16725.6619018024	47681.3297086582	378.722755075046	385.977397951024	CCN202212150	CS202212150_7	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
8	0008 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.8	Cck:9.5	Gm6209,Satb2,Npsr1,Ptgs2	Gm6209,Lipg,Ptgs2	EPd an	CTXsp	2508	1650	858	0.56	0.44		0.35	0.65	4746.69696969697	7144.11072261072	15934.5357575758	44403.9405594406	383.481482779345	390.655419244318	CCN202212150	CS202212150_8	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
9	0009 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:10.2	Cck:9.5	Gm6209,Npsr1,Cdhr1,Ccnb1	Gm6209,Blnk,Cwh43	EPd an	CTXsp	2184	1643	541	0.61	0.39		0.19	0.81	5675.98660986001	8310.46210720887	20932.2038953135	57008.4621072089	389.720114292569	399.744184625043	CCN202212150	CS202212150_9	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
10	0010 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.9	Cck:9.3	Osr1,Lcp1,Lepr,Vwc2l	Osr1,Lcp1,9130024F11Rik	CLA-EPd an	CTXsp	461	378	83	0.69	0.31		0.13	0.87	5151.41005291005	7435.12048192771	17169.2222222222	42176.5903614458	386.77742106646	388.31156615522	CCN202212150	CS202212150_10	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
