defined_class	prefLabel	Synonyms_from_taxonomy	Gross_cell_type	Taxon	Taxon_abbv	Brain_region	Cluster_ID	Allen_markers	Brain_region_abbv	Species_abbv	Individual	part_of	has_soma_location	NT	Alias_citations	Minimal_markers	aligned_alias	MBA	CL	Nomenclature_Layers	Nomenclature_Projection	marker_gene_set	MBA_1	MBA_2	MBA_3	MBA_4	MBA_5	MBA_6
http://purl.obolibrary.org/obo/PCL_0110001	0001 Car3 Glut_1	0001 Car3 Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_1		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_1		MBA:997	GO:0061535														
http://purl.obolibrary.org/obo/PCL_0110002	0002 Car3 Glut_1	0002 Car3 Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_2		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_2		MBA:997	GO:0061535														
http://purl.obolibrary.org/obo/PCL_0110003	0003 Car3 Glut_1	0003 Car3 Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_3		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_3		MBA:997	GO:0061535														
http://purl.obolibrary.org/obo/PCL_0110004	0004 Car3 Glut_1	0004 Car3 Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_4		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_4		MBA:997	GO:0061535														
http://purl.obolibrary.org/obo/PCL_0110005	0005 Car3 Glut_2	0005 Car3 Glut_2	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_5		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_5		MBA:997	GO:0061535														
http://purl.obolibrary.org/obo/PCL_0110006	0006 IT EP-CLA Glut_1	0006 IT EP-CLA Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_6		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_6		MBA:997	GO:0061535				MBA:942|MBA:583			PATO:0070034		MBA:942	MBA:583				
http://purl.obolibrary.org/obo/PCL_0110007	0007 IT EP-CLA Glut_1	0007 IT EP-CLA Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_7		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_7		MBA:997	GO:0061535				MBA:942|MBA:583			PATO:0070034		MBA:942	MBA:583				
http://purl.obolibrary.org/obo/PCL_0110008	0008 IT EP-CLA Glut_1	0008 IT EP-CLA Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_8		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_8		MBA:997	GO:0061535				MBA:942|MBA:583			PATO:0070034		MBA:942	MBA:583				
http://purl.obolibrary.org/obo/PCL_0110009	0009 IT EP-CLA Glut_1	0009 IT EP-CLA Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_9		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_9		MBA:997	GO:0061535				MBA:942|MBA:583			PATO:0070034		MBA:942	MBA:583				
http://purl.obolibrary.org/obo/PCL_0110010	0010 IT EP-CLA Glut_1	0010 IT EP-CLA Glut_1	CL:0000679	NCBITaxon:10090	Mmus	MBA:997	CS202212150_10		MOp	Mouse	http://purl.obolibrary.org/obo/pcl/CS202212150_10		MBA:997	GO:0061535				MBA:942|MBA:583			PATO:0070034		MBA:942	MBA:583				
